Model,R2,MAE,RMSE,CV_R2_Mean,CV_R2_Std
Gradient Boosting (Tuned),0.9068504940001717,27.76847277992924,39.29125226602101,,
Gradient Boosting Regressor,0.8987340737235241,28.12206037945308,40.96729246810941,0.739029555318514,0.07682859331415513
Random Forest Regressor,0.8945655802968349,28.13686823358523,41.801974752270034,0.7527262548281308,0.07472426385744436
Linear Regression,0.8515363644696501,32.555338383254316,49.60387885549278,0.7396999171124621,0.07519657500334491
Ridge Regression,0.8514980518918172,32.53081086149871,49.610278839807584,0.740526442749184,0.0755190426854363
Lasso Regression,0.8504434201014938,32.60042317390196,49.78612842840191,0.7488728239389607,0.07043488910783167
Decision Tree Regressor,0.845995582765067,32.69163553657138,50.52102828241097,0.6777590347332973,0.10064317423051468
ElasticNet Regression,0.8285812527335842,35.49179401677303,53.300925622784874,0.7589948599728353,0.08430454945597204
Support Vector Regressor (SVR),0.3891917486124655,55.13655816990797,100.61391314768373,0.37142732150918534,0.17851004905360313
